tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah_penduduk
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,55-59,Laki-laki,102
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,60-64,Laki-laki,49
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,65-69,Laki-laki,47
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,70-74,Laki-laki,21
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,75+,Laki-laki,19
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,00-04,Laki-laki,521
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,05-09,Laki-laki,668
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,01-10,Laki-laki,648
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,15-19,Laki-laki,636
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,20-24,Laki-laki,660
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,25-29,Laki-laki,682
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,30-34,Laki-laki,633
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,35-39,Laki-laki,778
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,40-44,Laki-laki,703
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,45-49,Laki-laki,683
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,50-54,Laki-laki,685
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,55-59,Laki-laki,594
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,60-64,Laki-laki,489
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,65-69,Laki-laki,333
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,70-74,Laki-laki,191
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,75+,Laki-laki,224
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,00-04,Laki-laki,694
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,05-09,Laki-laki,825
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,01-10,Laki-laki,781
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,15-19,Laki-laki,844
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,20-24,Laki-laki,835
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,25-29,Laki-laki,816
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,30-34,Laki-laki,790
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,35-39,Laki-laki,878
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,40-44,Laki-laki,858
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,45-49,Laki-laki,778
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,50-54,Laki-laki,744
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,55-59,Laki-laki,646
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,60-64,Laki-laki,494
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,65-69,Laki-laki,314
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,70-74,Laki-laki,223
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,75+,Laki-laki,214
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,00-04,Laki-laki,674
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,05-09,Laki-laki,712
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,01-10,Laki-laki,629
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,15-19,Laki-laki,636
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,20-24,Laki-laki,764
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,25-29,Laki-laki,881
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,30-34,Laki-laki,851
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,35-39,Laki-laki,740
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,40-44,Laki-laki,712
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,45-49,Laki-laki,639
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,50-54,Laki-laki,608
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,55-59,Laki-laki,489
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,60-64,Laki-laki,424
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,65-69,Laki-laki,272
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,70-74,Laki-laki,151
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,75+,Laki-laki,175
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,00-04,Laki-laki,343
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,05-09,Laki-laki,426
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,01-10,Laki-laki,477
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,15-19,Laki-laki,495
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,20-24,Laki-laki,492
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,25-29,Laki-laki,480
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,30-34,Laki-laki,487
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,35-39,Laki-laki,490
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,40-44,Laki-laki,495
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,45-49,Laki-laki,455
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,50-54,Laki-laki,476
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,55-59,Laki-laki,390
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,60-64,Laki-laki,295
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,65-69,Laki-laki,220
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,70-74,Laki-laki,137
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,75+,Laki-laki,119
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,00-04,Laki-laki,862
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,05-09,Laki-laki,1020
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,01-10,Laki-laki,996
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,15-19,Laki-laki,1006
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,20-24,Laki-laki,992
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,25-29,Laki-laki,940
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,30-34,Laki-laki,943
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,35-39,Laki-laki,1079
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,40-44,Laki-laki,983
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,45-49,Laki-laki,899
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,50-54,Laki-laki,858
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,55-59,Laki-laki,688
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,60-64,Laki-laki,495
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,65-69,Laki-laki,328
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,70-74,Laki-laki,180
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,75+,Laki-laki,158
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,00-04,Laki-laki,365
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,05-09,Laki-laki,505
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,01-10,Laki-laki,499
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15-19,Laki-laki,518
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,20-24,Laki-laki,564
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,25-29,Laki-laki,493
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,30-34,Laki-laki,516
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,35-39,Laki-laki,672
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,40-44,Laki-laki,607
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,45-49,Laki-laki,538
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,50-54,Laki-laki,543
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,55-59,Laki-laki,485
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,60-64,Laki-laki,389
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,65-69,Laki-laki,326
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,70-74,Laki-laki,259
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,75+,Laki-laki,224
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,00-04,Laki-laki,1054
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,05-09,Laki-laki,1307
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,01-10,Laki-laki,1334
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,15-19,Laki-laki,1250
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,20-24,Laki-laki,1182
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,25-29,Laki-laki,1144
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,30-34,Laki-laki,1260
2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,35-39,Laki-laki,1464
